time,host_p0,host_p1,host_p2,host_p3,host_p4,host_p5,host_p6,host_p7,host_p8,host_p9,para_p0,para_p1,para_p2,para_p3,para_p4,para_p5,para_p6,para_p7,para_p8,para_p9
0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
1.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357
2.000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
3.000000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
4.000000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
5.000000,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6.000000,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.000000,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.000000,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.000000,4018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.000000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
